Symbol,Close,Open,Low,High,Average Price,Volume,Value,Market Cap,Previous Close,Trades,Net Foreign,Sector,Subsector,52-Week High,Earnings Per Share TTM (EPS),Price to Book Value (P/BV),52-Week Low,Price-Earnings Ratio TTM (P/E),Return on Equity (ROE),Fair Value,Dividends Per Share (DPS),Support 1,Resistance 1,Short-Term Trend,Support 2,Resistance 2,Medium-Term Trend,Week to Date %,Year to Date %,Month to Date %,MA 20,MA 20 status,MA 50,MA 50 status,MA 100,MA 100 status,MA 200,MA 200 status,RSI(14),MACD(12 26 9),ATR(14),CCI(20),STS(14 3 3),Williams %R(14),VolumeSMA(15),CandleStick(1),RVol,RvolIndicator,AOTS,Reversal
CHP,1.46,1.45,1.45,1.50,1.48,7580000,11200000,19690000000,1.45,549,0,Industrial,Construction Infra. & Allied Services,2.10,0.12 (9.09%),0.46,0.86,12.08,3.24%,-,-,1.44,1.60,DOWNTREND,1.34,1.72,SIDEWAYS,0.69%,0.69%,0.69%,1.63,BEARISH,1.64,BEARISH,1.52,BEARISH,1.29,BULLISH,30.03,-0.0432 -0.0161,0.0582 (3.99%),-189.5537,0.0000,-93.1034,11298533.33,Inverted Hammer,0.6,No,Buy in Tranches,No
IRC,1.38,1.42,1.36,1.42,1.38,7930000,10940000,8359999999,1.41,410,0,Property,Property,1.78,0.24 (-80.95%),0.04,0.54,5.92,-0.02%,-,-,1.36,1.52,DOWNTREND,1.12,1.68,SIDEWAYS,-2.13%,-2.13%,-2.13%,1.56,BEARISH,1.54,BEARISH,1.33,BULLISH,1.07,BULLISH,34.62,-0.0384 -0.0072,0.0722 (5.23%),-176.1762,0.0000,-93.5484,4796000.00,Black Long Day,1.53,No,Yes,No
FPH,77.00,76.80,76.00,77.00,76.87,139840,10750000,38850000000,77.00,113,0,Industrial,Electricity Energy Power & Water,80.00,20.23 (-17.66%),0.32,41.00,3.80,11.63%,-,-,74.75,77.70,UPTREND,65.65,80.45,UPTREND,0.00%,0.00%,0.00%,75.99,BULLISH,68.37,BULLISH,64.24,BULLISH,60.39,BULLISH,61.63,2.5360 3.0616,1.9505 (2.53%),18.9241,41.6667,-50.0000,192403.33,Hammer,0.67,No,Yes,No
SPC,9.72,9.82,9.70,9.83,9.76,1060000,10360000,14550000000,9.82,383,0,Industrial,Electricity Energy Power & Water,11.30,1.10 (-4.35%),1.35,6.50,8.93,15.58%,-,-,9.71,10.37,DOWNTREND,9.16,11.25,SIDEWAYS,-1.02%,-1.02%,-1.02%,10.62,BEARISH,10.69,BEARISH,9.87,BEARISH,8.92,BULLISH,31.69,-0.1991 -0.0688,0.2902 (2.99%),-170.2300,0.0000,-98.7500,866826.67,Black Long Day,1.27,No,Buy in Tranches,No
HOME,8.90,9.15,8.82,9.20,8.96,973000,8720000,33380000000,9.15,428,0,Service,Retail,11.60,0.24 (-57.14%),2.64,4.25,38.13,8.12%,-,-,8.56,9.18,UPTREND,8.19,9.48,UPTREND,-2.73%,-2.73%,-2.73%,8.68,BULLISH,7.80,BULLISH,6.91,BULLISH,6.68,BULLISH,64.32,0.3053 0.3372,0.2390 (2.69%),140.5069,77.2222,-41.6667,2013253.33,Black Long Day,0.44,No,Yes,No
RCI,1.32,1.29,1.28,1.35,1.32,6550000,8630000,2900000000,1.29,279,0,Industrial,Food Beverage & Tobacco,2.29,-0.55 (-223.53%),0.40,1.10,-2.33,-8.77%,-,-,1.28,1.40,UPTREND,1.22,1.48,UPTREND,2.33%,2.33%,2.33%,1.36,BEARISH,1.28,BULLISH,1.23,BULLISH,1.38,BEARISH,47.97,0.0173 0.0322,0.0655 (4.96%),-67.1482,23.1884,-73.9130,12639000.00,None,0.45,No,Yes,No
CLI,5.15,5.05,5.01,5.15,5.09,1670000,8490000,8010000000,5.05,246,0,Property,Property,5.50,1.15 (-19.58%),0.99,3.00,4.39,16.34%,-,-,4.91,5.19,SIDEWAYS,4.68,5.38,UPTREND,1.98%,1.98%,1.98%,5.00,BULLISH,4.82,BULLISH,4.90,BULLISH,4.56,BULLISH,69.73,0.0626 0.0604,0.0951 (1.85%),214.5980,81.3333,0.0000,1044733.33,White Long Day,1.48,No,Buy in Tranches,Buy in tranches
PCOR,3.98,3.97,3.95,3.99,3.97,2100000,8330000,37310000000,3.99,239,0,Industrial,Electricity Energy Power & Water,4.63,-1.84 (-268.00%),1.87,2.00,-2.16,-12.90%,-,-,3.96,4.14,DOWNTREND,3.58,4.27,UPTREND,-0.25%,-0.25%,-0.25%,4.05,BEARISH,3.58,BULLISH,3.32,BULLISH,3.15,BULLISH,56.69,0.1112 0.1529,0.0934 (2.35%),-106.2802,16.9553,-86.3636,5275133.33,Spinning Top,0.37,No,Yes,No
SHLPH,20.95,20.50,20.50,21.10,20.70,385600,7980000,33799999999,20.65,325,0,Industrial,Electricity Energy Power & Water,35.00,-7.81 (-657.86%),1.28,14.52,-2.64,-80.92%,-,-,20.15,21.12,DOWNTREND,17.81,23.15,UPTREND,1.45%,1.45%,1.45%,21.57,BEARISH,18.78,BULLISH,17.86,BULLISH,18.32,BULLISH,54.71,0.5525 0.9085,0.7209 (3.44%),-53.6174,17.4359,-72.3077,1050020.00,White Long Day,0.43,No,Yes,No
PLC,0.4550,0.44,0.44,0.4750,0.4546,17150000,7800000,14200000000,0.4450,212,0,Service,Casinos & Gaming,0.61,0.01 (-87.50%),0.86,0.2550,44.00,-1.39%,-,-,0.4425,0.4800,UPTREND,0.4000,0.5125,UPTREND,2.25%,2.25%,2.25%,0.4413,BULLISH,0.3968,BULLISH,0.3515,BULLISH,0.3347,BULLISH,56.83,0.0188 0.0212,0.0251 (5.51%),39.8323,43.2098,-55.5556,30966000.0000,None,0.5,No,Yes,No
EW,10.70,10.80,10.68,10.90,10.74,697700,7500000,24070000000,10.80,302,0,Financial,Banks,12.50,4.08 (21.07%),0.44,6.08,2.67,13.41%,-,-,10.64,11.17,DOWNTREND,10.29,11.88,UPTREND,-0.93%,-0.93%,-0.93%,11.35,BEARISH,10.64,BULLISH,9.44,BULLISH,8.55,BULLISH,40.28,0.0247 0.1918,0.2795 (2.61%),-150.5214,9.3137,-92.6471,1170280.00,None,0.58,No,Yes,No
TBGI,0.35,0.34,0.3350,0.36,0.3460,21250000,7350000,1330000000,0.3350,319,0,Service,Information Technology,0.41,0.00 (0.00%),2.43,0.13,0.00,0.66%,-,-,0.33,0.37,UPTREND,0.30,0.40,UPTREND,4.48%,4.48%,4.48%,0.33,BULLISH,0.29,BULLISH,0.24,BULLISH,0.21,BULLISH,58.02,0.0197 0.0212,0.0231 (6.60%),46.3980,44.9275,-52.1739,47472666.67,None,0.38,No,Yes,No
WPI,0.58,0.57,0.56,0.58,0.57,12630000,7160000,1450000000,0.58,202,0,Service,Hotel & Leisure,0.78,0.60 (850.00%),0.21,0.30,0.95,0.39%,-,-,0.57,0.64,DOWNTREND,0.42,0.70,UPTREND,0.00%,0.00%,0.00%,0.64,BEARISH,0.59,BEARISH,0.49,BULLISH,0.45,BULLISH,39.48,-0.0040 0.0092,0.0415 (7.15%),-189.3491,11.6666,-86.6667,18825333.33,None,0.62,No,Yes,No
BCOR,5.60,6.05,5.35,6.15,5.96,1310000,7800000,24310000000,6.00,169,0,Service,Casinos & Gaming,6.15,0.01 (-90.91%),3.33,1.50,600.00,2.95%,-,-,4.96,6.08,UPTREND,4.44,6.08,UPTREND,-6.67%,-6.67%,-6.67%,5.23,BULLISH,4.45,BULLISH,3.53,BULLISH,2.88,BULLISH,62.34,0.3466 0.3336,0.3744 (6.68%),141.4099,82.9248,-41.0448,1342273.33,None,0.83,No,Yes,No
SUN,1.70,1.68,1.64,1.71,1.66,4110000,6830000,12330000000,1.67,138,0,Property,Property,2.47,-0.10 (-300.00%),3.36,0.89,-16.80,-14.05%,-,-,1.65,1.76,DOWNTREND,1.48,1.91,UPTREND,1.80%,1.80%,1.80%,1.76,BEARISH,1.50,BULLISH,1.34,BULLISH,1.29,BULLISH,53.18,0.0507 0.0830,0.0893 (5.25%),-74.4681,12.2222,-80.0000,4610133.33,None,0.86,No,Yes,No
IMI,9.30,9.12,9.12,9.30,9.24,703900,6500000,20620000000,9.10,452,0,Industrial,Electrical Components & Equipment,9.50,0.00 (100.00%),1.05,3.20,0.00,-0.83%,-,-,8.10,9.50,UPTREND,7.04,9.87,UPTREND,2.20%,2.20%,2.20%,7.90,BULLISH,7.21,BULLISH,6.31,BULLISH,5.77,BULLISH,70.98,0.5565 0.4052,0.4158 (4.47%),139.9542,91.9028,-8.0972,1824993.33,White Marubozu,0.32,No,Yes,No
VUL,1.08,1.05,1.04,1.11,1.06,5770000,6140000,1570000000,1.05,291,0,Industrial,Construction Infra. & Allied Services,1.39,0.00 (100.00%),0.00,0.48,0.00,66.80%,-,-,1.04,1.30,UPTREND,1.00,1.36,UPTREND,2.86%,2.86%,2.86%,1.23,BEARISH,1.01,BULLISH,0.87,BULLISH,0.79,BULLISH,43.27,0.0414 0.0806,0.0761 (7.05%),-127.8446,9.8148,-86.1111,5227733.33,None,1.01,No,Yes,No
TUGS,1.52,1.58,1.50,1.58,1.54,4030000,6190000,1360000000,1.55,285,0,Service,Transporation Services,1.85,-0.26 (-100.00%),1.14,0.51,-6.08,2.08%,-,-,1.47,1.60,DOWNTREND,1.41,1.81,UPTREND,-1.94%,-1.94%,-1.94%,1.65,BEARISH,1.50,BULLISH,1.24,BULLISH,1.03,BULLISH,44.96,0.0091 0.0409,0.0913 (6.01%),-129.5988,20.3252,-80.4878,4719133.33,Black Long Day,0.79,No,Yes,No
CPG,0.4450,0.45,0.44,0.46,0.4457,13690000,6100000,5160000000,0.45,123,0,Property,Property,0.57,0.08 (-42.86%),0.25,0.3250,5.63,7.78%,-,-,0.4425,0.4850,DOWNTREND,0.3800,0.5000,UPTREND,-1.11%,-1.11%,-1.11%,0.4718,BEARISH,0.4215,BULLISH,0.3917,BULLISH,0.3835,BULLISH,45.33,0.0081 0.0151,0.0165 (3.70%),-167.8967,0.0000,-90.9091,19232000.0000,None,0.61,No,Yes,No
PNX4,1008.00,1008.00,1008.00,1009.00,1008.57,5440,5490000,7060000000,1007.00,18,0,None,None,1055.00,0.00 (0.00%),0.00,930.00,0.00,0.00%,-,-,1000.00,1008.50,SIDEWAYS,961.50,1044.00,SIDEWAYS,0.10%,0.10%,0.10%,1000.15,BULLISH,995.88,BULLISH,982.28,BULLISH,995.34,BULLISH,64.47,3.4322 3.0766,4.5939 (0.46%),185.5746,77.7589,-6.4516,2542.00,Gravestone Doji,1.84,No,Yes,Reversal soon
GMA7,6.02,6.02,6.00,6.05,6.02,897900,5410000,20230000000,6.00,307,0,Service,Media,8.50,0.90 (73.08%),2.44,4.28,6.69,53.04%,-,-,5.92,6.04,UPTREND,5.68,7.58,UPTREND,0.33%,0.33%,0.33%,5.98,BULLISH,5.53,BULLISH,5.29,BULLISH,5.20,BULLISH,63.22,0.1286 0.1618,0.0986 (1.64%),50.2200,37.6812,-45.4545,1009433.33,Doji,0.93,No,Yes,No
VITA,0.92,0.92,0.89,0.93,0.91,5810000,5290000,2810000000,0.91,277,0,Industrial,Food Beverage & Tobacco,1.32,0.01 (133.33%),1.67,0.63,92.00,-0.26%,-,-,0.89,0.99,DOWNTREND,0.84,1.06,UPTREND,1.10%,1.10%,1.10%,0.99,BEARISH,0.89,BULLISH,0.83,BULLISH,0.84,BULLISH,45.37,0.0086 0.0284,0.0457 (4.97%),-93.4412,15.0000,-80.0000,8708600.00,Doji,0.65,No,Yes,No
AXLM,3.47,3.37,3.35,3.47,3.37,1470000,4970000,13610000000,3.50,224,0,Industrial,Food Beverage & Tobacco,3.87,0.14 (-6.67%),1.52,1.75,24.07,6.48%,-,-,3.34,3.54,DOWNTREND,3.20,3.84,UPTREND,-0.86%,-0.86%,-0.86%,3.60,BEARISH,3.19,BULLISH,2.82,BULLISH,2.66,BULLISH,51.57,0.0878 0.1402,0.1457 (4.20%),-74.8404,36.1111,-66.6667,2455333.33,White Long Day,0.55,No,Yes,No
MRSGI,1.49,1.50,1.45,1.50,1.47,3060000,4510000,5110000000,1.50,217,0,Service,Retail,2.19,-0.01 (-103.85%),0.60,1.15,-150.00,-8.82%,-,-,1.46,1.64,DOWNTREND,1.36,1.72,UPTREND,-0.67%,-0.67%,-0.67%,1.63,BEARISH,1.55,BEARISH,1.48,BULLISH,1.53,BEARISH,37.53,-0.0062 0.0215,0.0657 (4.41%),-205.5419,14.1589,-82.7586,4403266.67,Hanging Man,0.6,No,Yes,Reversal soon
ATN,0.86,0.85,0.84,0.87,0.85,5240000,4450000,3180000000,0.85,236,0,Holding Firms,Holding Firms,1.09,0.00 (-100.00%),1.81,0.39,0.00,-0.17%,-,-,0.84,0.92,DOWNTREND,0.78,1.08,UPTREND,1.18%,1.18%,1.18%,0.96,BEARISH,0.91,BEARISH,0.74,BULLISH,0.65,BULLISH,39.45,-0.0093 0.0100,0.0461 (5.35%),-155.9425,0.0000,-88.8889,9090800.00,None,0.54,No,Yes,No
APVI,12.20,12.20,12.20,13.00,12.30,341900,4200000,1220000000,12.40,229,0,Small Medium & Emerging Board,Small Medium & Emerging Board,240.00,0.33 (-49.23%),2.02,8.29,36.97,3.86%,-,-,12.15,13.71,DOWNTREND,10.81,15.78,UPTREND,-1.61%,-1.61%,-1.61%,14.24,BEARISH,13.22,BEARISH,12.32,BEARISH,0.00,NEUTRAL,34.14,-0.2094 0.1405,0.7219 (5.92%),-139.8065,3.2054,-100.0000,496266.67,Gravestone Doji,0.69,No,Yes,No
ORE,0.83,0.80,0.78,0.87,0.82,4940000,4040000,2390000000,0.81,213,0,Mining And Oil,Mining,0.87,0.06 (137.50%),0.36,0.40,13.33,-2.89%,-,-,0.73,0.85,UPTREND,0.68,0.90,UPTREND,2.47%,2.47%,2.47%,0.77,BULLISH,0.72,BULLISH,0.65,BULLISH,0.58,BULLISH,65.50,0.0312 0.0300,0.0471 (5.67%),98.9082,75.3354,-21.0526,2931266.67,None,1.56,No,Yes,No
LPZ,3.73,3.71,3.71,3.73,3.71,1080000,4019999,16940000000,3.72,63,0,Holding Firms,Holding Firms,4.17,-0.27 (-118.88%),0.25,2.23,-13.78,6.44%,-,-,3.71,3.74,UPTREND,3.06,4.08,UPTREND,0.27%,0.27%,0.27%,3.66,BULLISH,3.06,BULLISH,2.73,BULLISH,2.77,BULLISH,80.84,0.1978 0.2319,0.0516 (1.38%),38.9324,66.6667,-20.0000,3917066.67,White Marubozu,0.33,No,Yes,No
WEB,3.08,2.89,2.85,3.10,2.95,1250000,3700000,4420000000,2.89,155,0,Service,Information Technology,5.17,-0.09 (-350.00%),19.27,1.10,-32.11,-49.34%,-,-,2.86,3.12,UPTREND,2.77,3.40,UPTREND,6.57%,6.57%,6.57%,3.06,BULLISH,2.95,BULLISH,2.53,BULLISH,2.33,BULLISH,53.14,0.0208 0.0533,0.1453 (4.72%),-33.2288,16.4422,-60.6557,2741666.67,White Long Day,0.41,No,Yes,No
FB,67.50,67.00,66.80,67.90,67.05,56040,3760000,398870000000,67.00,171,0,Industrial,Food Beverage & Tobacco,84.05,2.21 (-19.93%),4.95,44.50,30.32,16.75%,-,-,66.40,70.68,UPTREND,63.10,73.00,UPTREND,0.75%,0.75%,0.75%,69.37,BEARISH,66.67,BULLISH,65.86,BULLISH,64.02,BULLISH,45.35,0.5808 1.0856,1.6354 (2.42%),-129.1783,18.5897,-74.0458,232806.00,None,0.23,No,Yes,No
MAXS,6.91,6.86,6.85,7.00,6.93,529600,3670000,7170000000,6.89,243,0,Industrial,Food Beverage & Tobacco,11.94,-0.97 (-211.49%),1.12,4.20,-7.08,-7.45%,-,-,6.87,7.50,DOWNTREND,6.62,8.30,UPTREND,0.29%,0.29%,0.29%,7.77,BEARISH,6.87,BULLISH,5.85,BULLISH,5.76,BULLISH,38.71,0.0359 0.2459,0.2854 (4.13%),-139.1759,4.4125,-95.9184,835320.00,Inverted Hammer,0.58,No,Yes,No
CHIB,25.00,24.90,24.85,25.20,24.94,145100,3620000,67150000000,24.95,39,0,Financial,Banks,26.10,4.33 (25.87%),0.66,17.00,5.75,11.18%,-,-,24.80,25.30,DOWNTREND,23.12,26.10,UPTREND,0.20%,0.20%,0.20%,25.58,BEARISH,24.17,BULLISH,22.59,BULLISH,21.50,BULLISH,48.08,0.1624 0.3719,0.2796 (1.12%),-131.3869,0.0000,-78.2609,289226.67,Spinning Top,0.47,No,Yes,No
ION,1.13,1.18,1.10,1.18,1.13,3200000,3610000,945960000,1.20,174,0,Industrial,Electrical Components & Equipment,1.77,0.00 (-100.00%),0.40,0.85,0.00,2.04%,-,-,1.12,1.33,UPTREND,1.04,1.51,UPTREND,-5.83%,-5.83%,-5.83%,1.19,BEARISH,1.09,BULLISH,1.04,BULLISH,1.06,BULLISH,46.26,0.0430 0.0554,0.0902 (7.98%),-36.6119,19.6154,-92.0000,6157866.67,None,0.44,No,Yes,No
ACR,1.31,1.30,1.26,1.33,1.29,2720000,3490000,8240000000,1.36,156,0,Industrial,Electricity Energy Power & Water,1.49,0.06 (-76.92%),0.68,0.61,21.00,12.35%,-,-,1.28,1.38,DOWNTREND,1.23,1.44,SIDEWAYS,-3.68%,-3.68%,-3.68%,1.39,BEARISH,1.37,BEARISH,1.31,BULLISH,1.18,BULLISH,36.02,-0.0110 0.0015,0.0476 (3.64%),-212.4711,35.5375,-66.6667,2294866.67,None,1.08,No,Yes,No
PRF3A,1074.00,1015.00,1015.00,1075.00,1064.03,3110,3300000,14390000000,1010.00,14,0,None,None,1075.00,0.00 (0.00%),0.00,993.00,0.00,0.00%,-,-,1010.00,1074.50,SIDEWAYS,993.00,1074.50,SIDEWAYS,6.34%,6.34%,6.34%,1062.80,BULLISH,1062.62,BULLISH,1058.99,BULLISH,1045.10,BULLISH,54.35,-2.9166 -1.0566,14.5388 (1.35%),-116.4512,0.0000,-1.5385,3751.67,White Long Day,0.68,No,Yes,Reversal soon
AT,6.80,6.46,6.40,6.80,6.62,489600,3240000,24200000000,6.46,72,0,Mining And Oil,Mining,6.97,-0.01 (96.43%),0.67,1.50,-646.00,3.43%,-,-,6.28,6.92,UPTREND,5.45,6.92,UPTREND,5.26%,5.26%,5.26%,6.39,BULLISH,5.29,BULLISH,4.36,BULLISH,3.21,BULLISH,68.36,0.3805 0.4429,0.2237 (3.29%),70.2558,56.1404,-17.8947,694226.67,White Long Day,0.67,No,Yes,No
STI,0.4450,0.4650,0.44,0.47,0.4491,7150000,3210000,4410000000,0.4650,139,0,Service,Education,0.65,-0.05 (-350.00%),0.58,0.28,-9.30,-11.07%,-,-,0.4425,0.4900,UPTREND,0.3875,0.5200,UPTREND,-4.30%,-4.30%,-4.30%,0.4428,BULLISH,0.3887,BULLISH,0.3525,BULLISH,0.3478,BULLISH,54.08,0.0242 0.0269,0.0189 (4.24%),21.5889,63.4921,-52.3810,12530000.0000,Black Long Day,0.52,No,Yes,No
ABS,11.66,11.68,11.58,11.72,11.65,269100,3130000,10000000000,11.68,184,0,Service,Media,24.85,-6.94 (-321.73%),0.43,6.66,-1.68,-45.68%,-,-,11.62,12.16,DOWNTREND,10.92,12.75,UPTREND,-0.17%,-0.17%,-0.17%,12.08,BEARISH,11.71,BEARISH,9.82,BULLISH,13.10,BEARISH,43.94,0.0668 0.1677,0.2899 (2.49%),-192.2353,5.8196,-90.2439,341000.00,Spinning Top,0.76,No,Yes,No
ANI,7.84,7.98,7.80,7.98,7.82,392700,3070000,7980000000,8.00,134,0,Industrial,Food Beverage & Tobacco,13.48,4.27 (7016.67%),1.05,5.60,1.87,6.72%,-,-,7.78,8.27,DOWNTREND,7.38,8.78,SIDEWAYS,-2.00%,-2.00%,-2.00%,8.36,BEARISH,8.15,BEARISH,8.02,BEARISH,7.66,BULLISH,37.00,-0.0531 0.0231,0.2800 (3.57%),-176.9207,28.5714,-86.8132,710680.00,Black Long Day,0.49,No,Yes,No
EEI,7.58,7.57,7.55,7.59,7.57,402900,3050000,7860000000,7.59,115,0,Industrial,Construction Infra. & Allied Services,9.56,-0.52 (-183.87%),1.03,4.31,-14.56,-14.73%,-,-,7.54,7.75,DOWNTREND,7.22,8.16,SIDEWAYS,-0.13%,-0.13%,-0.13%,7.83,BEARISH,7.62,BEARISH,6.89,BULLISH,6.12,BULLISH,44.50,0.0134 0.0670,0.1901 (2.51%),-127.8966,14.3440,-87.0370,675533.33,Hammer,0.6,No,Yes,No
OPM,0.0120,0.0120,0.0110,0.0130,0.0119,249800000,2990000,1440000000,0.0130,178,0,Mining And Oil,Oil,0.0150,0.00 (0.00%),0.00,0.0080,0.00,1.22%,-,-,0.0115,0.0135,UPTREND,0.0100,0.0145,UPTREND,-7.69%,-7.69%,-7.69%,0.0118,BULLISH,0.0106,BULLISH,0.0096,BULLISH,0.0095,BULLISH,52.58,0.0007 0.0007,0.0014 (11.70%),18.0666,47.0588,-60.0000,510560000.0000,Doji,0.42,No,Yes,No
SSP,1.54,1.53,1.50,1.55,1.53,1830000,2800000,3330000000,1.53,132,0,Industrial,Electrical Components & Equipment,1.87,13.0927 (68.75%),0.01,0.50,0.12,8.08%,-,-,1.50,1.64,UPTREND,1.43,1.78,SIDEWAYS,0.65%,0.65%,0.65%,1.58,BEARISH,1.54,BEARISH,1.48,BULLISH,1.31,BULLISH,46.07,0.0073 0.0182,0.0827 (5.37%),-67.4050,13.9062,-84.6154,6686600.00,None,0.22,No,Yes,No
EURO,2.21,2.35,2.20,2.35,2.23,1230000,2740000,9090000000,2.34,181,0,Industrial,Chemicals,4.49,0.03 (-25.00%),1.80,1.58,76.67,3.32%,-,-,2.20,2.62,DOWNTREND,2.02,2.85,UPTREND,-5.56%,-5.56%,-5.56%,2.58,BEARISH,2.27,BEARISH,2.08,BULLISH,2.20,BULLISH,37.21,0.0165 0.0858,0.1520 (6.88%),-252.5445,8.6729,-98.5714,1661800.00,Black Long Day,0.69,No,Yes,No
